Período: 01/05/2024 à 31/07/2024;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;ALUMAR - SÃO LUIZ - MA - ;84;84;0;89;1;0;85;3;84
;ANGRA DOS REIS - BRADR;65;53;12;112;4;12;58;38;55
;ANTONINA - BRANT;19;18;1;20;3;0;17;0;17
;ARATU - BRARB;139;139;0;150;10;0;139;1;137
;AREIA BRANCA (TERMISA) ;284;284;0;285;0;0;285;0;285
;ATEM BELÉM - BRBEL007;1;0;1;6;2;3;0;1;0
;ATEM MIRITITUBA - ;0;0;0;0;0;0;0;0;0
;ATEM SANTARÉM - ;0;0;0;0;0;0;0;0;0
;ATEM´S - MANAUS - AM - ;5;5;0;8;1;0;6;1;6
;ATRACADOURO BARRA ;0;0;0;0;0;0;0;0;0
;ATRACADOURO DE ;0;0;0;0;0;0;0;0;0
;BARRA DO RIACHO - ;0;0;0;12;2;1;0;9;0
;BARRA DO RIO TERMINAL ;31;29;2;29;0;1;27;1;28
;BELEM - BRBEL;139;131;8;173;17;10;133;13;130
;BERTOLINI SANTARÉM - ;0;0;0;0;0;0;0;0;0
;BIANCHINI - CANOAS - RS ;33;33;0;37;3;0;33;1;33
;BRASFELS - ANGRA DOS ;3;2;1;6;2;1;2;1;2
;BRASKEM - MACEIO - AL - ;14;14;0;19;0;5;14;0;14
;CABEDELO - BRCDO;26;26;0;31;1;0;28;2;28
;CELSE TERMINAL DE ;0;0;0;0;0;0;0;0;0
;CHIBATÃO NAVEGAÇÃO E ;61;59;2;61;2;1;57;1;57
;CIA FLORESTAL MONTE ;0;0;0;0;0;0;0;0;0
;CIA PORTUARIA VILA ;45;44;1;57;5;5;46;1;46
;CIA. REFINADORA DA ;0;0;0;0;0;0;0;0;0
;CIMENTO VENCEMOS DO ;3;2;1;3;0;0;3;0;3
;CIMPOR - BRMRS001;0;0;0;0;0;0;0;0;0
;CMPC - GUAIBA - RS - ;135;131;4;159;4;15;133;7;133
;COPELMI - BRCQD002;0;0;0;1;1;0;0;0;0
;COTEGIPE - SALVADOR - ;26;26;0;31;3;0;26;2;26
;DETROIT BRASIL LTDA - ;0;0;0;0;0;0;0;0;0
;DOW BRASIL - ARATU - BA ;25;25;0;25;1;0;24;0;24
;ESTALEIRO ENSEADA ;4;3;1;4;0;0;4;0;4
;ESTALEIRO JURONG - ;2;2;0;8;1;2;5;0;5
;ESTALEIRO NAVSHIP - ;0;0;0;20;2;16;0;2;0
;ETC BERTOLINI ;0;0;0;0;0;0;0;0;0
;ETC BERTOLINI SANTANA - ;0;0;0;0;0;0;0;0;0
;FORD MOTOR - ARATU - ;0;0;0;0;0;0;0;0;0
;FORNO (ARRAIAL DO ;0;0;0;0;0;0;0;0;0
;FORTALEZA (MUCURIPE) - ;148;138;10;182;9;3;157;13;150
;FUNDEADOURO - ;0;0;0;0;0;0;0;0;0
;HIDROVIAS DO BRASIL - ;0;0;0;0;0;0;0;0;0
;HIDROVIAS DO BRASIL - ;0;0;0;45;4;17;0;24;0
;IBEPAR MANAUS - ;0;0;0;0;0;0;0;0;0
;ILHA GUAÍBA - ITAGUAÍ - ;0;0;0;58;8;4;2;44;2
;ILHEUS - BRIOS;4;4;0;8;0;1;4;3;4
;IMBITUBA - BRIBB;87;86;1;98;5;0;91;2;88
;INSTALAÇÃO PORTUÁRIA ;0;0;0;1;1;0;0;0;0
;ITAGUAÍ - BRIGI;169;152;17;220;22;12;154;32;154
;ITAJAI - BRITJ;15;12;3;24;3;0;16;5;16
;ITAPOA - SC - BRIOA001;157;156;1;193;13;18;156;6;157
;ITAQUI - BRIQI;261;218;43;311;23;14;223;51;222
;J. F. DE OLIVEIRA ;0;0;0;0;0;0;0;0;0
;KEPPEL SINGMARINE ;0;0;0;0;0;0;0;0;0
;LAGUNA - BRVLL;0;0;0;0;0;0;0;0;0
;MACEIÓ - BRMCZ;2;2;0;61;1;47;2;11;2
;MADRE DE DEUS - ;78;75;3;90;2;2;75;11;74
;MANAUS - BRMAO;0;0;0;1;1;0;0;0;0
;MMX PORTO SUDESTE - ;36;35;1;38;0;0;34;4;34
;NATAL - BRNAT;33;32;1;37;0;3;33;1;33
;NITERÓI - BRNTR;207;190;17;275;21;18;192;44;200
;NOV FLEXIBLES - ;0;0;0;0;0;0;0;0;0
;OLEOPLAN CANOAS RS - ;0;0;0;0;0;0;0;0;0
;PARANAGUA - BRPNG;673;658;15;777;49;9;684;35;666
;PECEM - BRPEC;199;195;4;218;14;1;199;4;199
;PELOTAS - BRPET;117;117;0;137;20;0;117;0;118
;PONTA DA MADEIRA - ;159;116;43;176;3;4;116;53;117
;PONTA DE UBU - ES - ;25;25;0;27;2;0;25;0;25
;PORTO ALEGRE - RS - ;18;16;2;39;18;1;18;2;17
;PORTOCEL - TERMINAL ;111;111;0;129;8;6;112;3;112
;PORTO CRAI - BRPA033;0;0;0;0;0;0;0;0;0
;PORTO DO AÇU - BRRJ022;862;840;22;1456;55;267;847;287;849
;PORTO FLUVIAL DE USO ;0;0;0;0;0;0;0;0;0
;PORTO VELHO - RO - ;0;0;0;0;0;0;0;0;0
;RECIFE - BRREC;100;91;9;104;2;0;93;9;93
;RIO DE JANEIRO - BRRIO;1942;1829;113;2507;152;182;1855;318;1887
;RIO GRANDE - BRRIG;378;361;17;726;61;179;364;122;363
;SALVADOR - BRSSA;190;189;1;248;37;8;196;7;197
;SANTANA/MACAPA - ;18;18;0;20;2;0;18;0;18
;SANTAREM - BRSTM;62;56;6;81;7;4;58;12;58
;SANTOS - BRSSZ;1009;975;34;1577;142;81;1002;352;1007
;SAO FRANCISCO DO SUL - ;109;108;1;137;7;6;111;13;111
;SAO SEBASTIAO - BRSSO;24;24;0;40;4;1;24;11;25
;SUAPE - BRSUA;407;404;3;454;25;8;411;10;406
;SUPER TERMINAIS - ;33;32;1;33;1;0;31;1;31
;TBO - TERMINAL ;15;15;0;16;0;0;16;0;16
;TEMINAL DE BENTO ;0;0;0;32;1;15;0;16;0
;TEPORTI - TERMINAL ;8;7;1;10;0;1;8;1;8
;TERFRON - TERMINAL ;5;5;0;30;3;10;5;12;5
;TERGASUL - CANOAS - RS ;3;3;0;4;0;0;3;1;3
;TERMINAL AMAZONGÁS - ;0;0;0;0;0;0;0;0;0
;TERMINAL AQUAVIARIO ;3;3;0;4;1;0;3;0;3
;TERMINAL AQUAVIARIO ;12;11;1;14;3;0;11;0;11
;TERMINAL AQUAVIARIO ;25;23;2;51;0;18;24;9;24
;TERMINAL AQUAVIÁRIO ;3;3;0;3;0;0;3;0;3
;TERMINAL AQUAVIÁRIO ;0;0;0;40;4;27;0;9;0
;TERMINAL AQUAVIÁRIO ;0;0;0;0;0;0;0;0;0
;TERMINAL BELMONTE - BA ;35;35;0;40;0;5;35;0;35
;TERMINAL DA BABITONGA ;0;0;0;0;0;0;0;0;0
;TERMINAL DA BRASKARNE ;6;5;1;7;2;0;5;0;5
;TERMINAL DA CARGILL - ;0;0;0;0;0;0;0;0;0
;TERMINAL DA DOW ;1;1;0;4;2;0;2;0;2
;TERMINAL DA FOGÁS - ;0;0;0;0;0;0;0;0;0
;TERMINAL DA PETROBRÁS ;39;39;0;44;4;3;37;0;37
;TERMINAL DE CARAVELAS ;0;0;0;0;0;0;0;0;0
;TERMINAL DE CARVÃO DA ;1;0;1;49;4;3;0;42;0
;TERMINAL DE EXPEDIÇÃO ;0;0;0;0;0;0;0;0;0
;TERMINAL DE GRÃOS ;26;24;2;34;4;1;26;3;26
;TERMINAL DE MINERIO ;124;107;17;136;7;2;106;21;106
;TERMINAL FLUVIAL ;2;1;1;1;0;0;1;0;1
;TERMINAL FLUVIAL DE ;33;33;0;34;0;0;34;0;33
;TERMINAL FLUVIAL ;0;0;0;0;0;0;0;0;0
;TERMINAL FLUVIAL MRN ;55;55;0;61;2;3;56;0;56
;TERMINAL FLUVIAL RIO ;10;9;1;9;0;0;9;0;9
;TERMINAL HERMASA DA ;44;43;1;46;1;0;44;1;43
;TERMINAL MERLIM - ;32;32;0;38;6;1;31;0;32
;TERMINAL PETROBRÁS - ;249;231;18;494;49;132;231;82;235
;TERMINAL PORTONAVE - ;114;114;0;150;29;6;113;2;115
;TERMINAL PORTUÁRIO ;0;0;0;50;1;44;0;5;0
;TERMINAL PORTUÁRIO ;16;16;0;17;0;0;17;0;17
;TERMINAL TRANSPETRO - ;100;90;10;172;25;8;98;41;98
;TERMINAL TRANSPETRO - ;174;167;7;217;4;19;171;23;170
;TERMINAL VETORIAL ;0;0;0;0;0;0;0;0;0
;TFB - EQUADOR LOG - ;21;17;4;24;1;0;18;5;17
;THYSSENKRUPP TERNIUM ;32;31;1;32;1;0;31;0;31
;TLP - TERMINAL ;0;0;0;0;0;0;0;0;0
;TMG-ITAPUA - TERMINAL ;14;14;0;14;0;0;14;0;14
;TMIB - TERMINAL INACIO ;16;16;0;16;0;0;16;0;16
;TPS - TERMINAL ;70;69;1;75;4;0;69;2;69
;TRBA - TERMINAL DE ;0;0;0;5;0;1;0;4;0
;TRIGOLAR - OCRIM - ;2;2;0;3;0;0;3;0;3
;TUBARÃO - ES - CVRD - ;87;87;0;149;18;14;88;29;88
;TUP NSR - NOVA SANTA ;4;4;0;3;0;0;3;0;3
;TUP SUPERGASBRAS - ;0;0;0;0;0;0;0;0;0
;VILA DO CONDE - BRVDC;233;211;22;420;28;132;215;45;210
;VITÓRIA - BRVIX;65;61;4;322;31;60;66;165;65
;YARA CANOAS - BRRS028;0;0;0;0;0;0;0;0;0
;YARA PORTO ALEGRE - ;3;3;0;5;2;1;2;0;2
